,0
0,Colorado
1,Delaware
2,Louisiana
3,Maine
4,Maryland
5,Massachusetts
6,Michigan
7,Missouri
8,Montana
9,Nebraska
10,Nevada
11,New Hampshire
12,New Mexico
13,North Carolina
14,North Dakota
15,Ohio
16,Oklahoma
17,Pennsylvania
18,South Carolina
19,South Dakota
20,Utah
21,Vermont
22,Virginia
23,Washington
24,West Virginia
25,Wisconsin
26,Wyoming
